Date,Children apprehended and placed in CBP custody,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care
2022-02-19,235.0,236.0,177.0,2478.0,198.0
2022-02-20,273.0,275.0,218.0,2495.0,202.0
2022-02-21,289.0,306.0,244.0,2505.0,234.0
2022-02-22,216.0,203.0,149.0,2428.0,226.0
2022-02-23,210.0,215.0,159.0,2411.0,176.0
2022-02-24,185.0,185.0,161.0,2400.0,172.0
2022-02-25,189.0,194.0,152.0,2386.0,166.0
2022-02-26,230.0,218.0,204.0,2406.0,185.0
2022-02-27,306.0,282.0,215.0,2402.0,219.0
2022-02-28,255.0,224.0,162.0,2349.0,215.0
2022-03-01,280.0,263.0,234.0,2367.0,216.0
2022-03-02,179.0,173.0,159.0,2352.0,174.0
2022-03-03,192.0,187.0,144.0,2321.0,175.0
2022-03-04,212.0,242.0,181.0,2334.0,169.0
2022-03-05,255.0,271.0,203.0,2342.0,195.0
2022-03-06,290.0,275.0,228.0,2369.0,201.0
2022-03-07,300.0,305.0,249.0,2406.0,212.0
2022-03-08,250.0,244.0,186.0,2391.0,202.0
2022-03-09,213.0,208.0,148.0,2366.0,173.0
2022-03-10,224.0,227.0,186.0,2380.0,173.0
2022-03-11,206.0,215.0,203.0,2404.0,178.0
2022-03-12,211.0,206.0,177.0,2383.0,198.0
2022-03-13,246.0,262.0,216.0,2374.0,225.0
2022-03-14,259.0,242.0,176.0,2323.0,228.0
2022-03-15,273.0,273.0,209.0,2339.0,192.0
2022-03-16,230.0,269.0,208.0,2367.0,181.0
2022-03-17,222.0,226.0,201.0,2408.0,160.0
2022-03-18,202.0,224.0,206.0,2440.0,174.0
2022-03-19,249.0,250.0,231.0,2482.0,189.0
2022-03-20,292.0,300.0,284.0,2532.0,234.0
2022-03-21,276.0,275.0,260.0,2561.0,231.0
2022-03-22,274.0,271.0,255.0,2602.0,214.0
2022-03-23,212.0,200.0,143.0,2537.0,209.0
2022-03-24,198.0,204.0,150.0,2530.0,157.0
2022-03-25,205.0,192.0,149.0,2517.0,162.0
2022-03-26,216.0,226.0,189.0,2497.0,209.0
2022-03-27,290.0,306.0,222.0,2499.0,220.0
2022-03-28,274.0,279.0,254.0,2526.0,227.0
2022-03-29,264.0,260.0,222.0,2548.0,200.0
2022-03-30,241.0,248.0,207.0,2563.0,193.0
2022-03-31,219.0,214.0,159.0,2522.0,200.0
2022-04-01,232.0,246.0,188.0,2519.0,190.0
2022-04-02,244.0,217.0,161.0,2477.0,203.0
2022-04-03,268.0,263.0,240.0,2503.0,213.0
2022-04-04,284.0,254.0,215.0,2497.0,221.0
2022-04-05,222.0,200.0,177.0,2485.0,189.0
2022-04-06,194.0,214.0,166.0,2460.0,191.0
2022-04-07,175.0,188.0,149.0,2428.0,181.0
2022-04-08,191.0,180.0,144.0,2413.0,159.0
2022-04-09,257.0,235.0,209.0,2435.0,186.0
2022-04-10,256.0,211.0,189.0,2421.0,202.0
2022-04-11,591.0,583.0,438.0,2652.0,208.0
2022-04-12,522.0,558.0,522.0,2950.0,224.0
2022-04-13,382.0,388.0,284.0,3031.0,202.0
2022-04-14,342.0,334.0,308.0,3120.0,219.0
2022-04-15,275.0,282.0,204.0,3092.0,233.0
2022-04-16,301.0,278.0,213.0,3060.0,245.0
2022-04-17,297.0,292.0,266.0,3082.0,244.0
2022-04-18,308.0,309.0,230.0,3046.0,267.0
2022-04-19,307.0,305.0,245.0,3022.0,269.0
2022-04-20,201.0,213.0,173.0,2994.0,201.0
2022-04-21,218.0,223.0,170.0,2957.0,207.0
2022-04-22,221.0,231.0,202.0,2958.0,202.0
2022-04-23,231.0,221.0,201.0,2915.0,245.0
2022-04-24,241.0,254.0,234.0,2899.0,249.0
2022-04-25,286.0,311.0,244.0,2879.0,264.0
2022-04-26,249.0,235.0,196.0,2826.0,248.0
2022-04-27,234.0,220.0,168.0,2762.0,232.0
2022-04-28,206.0,227.0,172.0,2742.0,192.0
2022-04-29,253.0,251.0,186.0,2726.0,202.0
2022-04-30,238.0,260.0,243.0,2766.0,203.0
2022-05-01,250.0,243.0,224.0,2735.0,255.0
2022-05-02,287.0,309.0,277.0,2774.0,238.0
2022-05-03,267.0,269.0,223.0,2768.0,228.0
2022-05-04,260.0,264.0,217.0,2776.0,209.0
2022-05-05,225.0,248.0,207.0,2804.0,179.0
2022-05-06,220.0,215.0,179.0,2778.0,205.0
2022-05-07,279.0,265.0,214.0,2761.0,232.0
2022-05-08,244.0,237.0,174.0,2689.0,245.0
2022-05-09,265.0,272.0,199.0,2662.0,225.0
2022-05-10,236.0,212.0,199.0,2638.0,223.0
2022-05-11,214.0,224.0,184.0,2615.0,207.0
2022-05-12,167.0,159.0,150.0,2599.0,165.0
2022-05-13,225.0,242.0,180.0,2602.0,177.0
2022-05-14,235.0,199.0,167.0,2552.0,217.0
2022-05-15,234.0,222.0,167.0,2492.0,227.0
2022-05-16,253.0,228.0,174.0,2438.0,228.0
2022-05-17,264.0,252.0,178.0,2392.0,224.0
2022-05-18,242.0,246.0,179.0,2386.0,186.0
2022-05-19,249.0,246.0,229.0,2440.0,174.0
2022-05-20,279.0,275.0,215.0,2452.0,203.0
2022-05-21,248.0,245.0,209.0,2467.0,194.0
2022-05-22,243.0,246.0,201.0,2460.0,209.0
2022-05-23,222.0,207.0,166.0,2400.0,225.0
2022-05-24,260.0,271.0,225.0,2419.0,207.0
2022-05-25,198.0,208.0,155.0,2396.0,178.0
2022-05-26,186.0,191.0,181.0,2419.0,158.0
2022-05-27,188.0,196.0,178.0,2399.0,198.0
2022-05-28,231.0,235.0,208.0,2412.0,195.0
2022-05-29,291.0,322.0,263.0,2471.0,204.0
2022-05-30,276.0,275.0,203.0,2443.0,231.0
2022-05-31,246.0,241.0,224.0,2462.0,205.0
2022-06-01,189.0,177.0,139.0,2418.0,184.0
2022-06-02,151.0,135.0,96.0,2339.0,175.0
2022-06-03,188.0,169.0,133.0,2315.0,156.0
2022-06-04,229.0,216.0,194.0,2320.0,189.0
2022-06-05,305.0,304.0,260.0,2358.0,223.0
2022-06-06,272.0,277.0,246.0,2387.0,216.0
2022-06-07,271.0,272.0,244.0,2434.0,198.0
2022-06-08,198.0,187.0,141.0,2395.0,179.0
2022-06-09,159.0,173.0,161.0,2392.0,164.0
2022-06-10,172.0,183.0,148.0,2370.0,170.0
2022-06-11,208.0,206.0,177.0,2361.0,186.0
2022-06-12,311.0,301.0,211.0,2355.0,217.0
2022-06-13,244.0,252.0,239.0,2400.0,194.0
2022-06-14,263.0,266.0,205.0,2394.0,211.0
2022-06-15,184.0,163.0,116.0,2333.0,177.0
2022-06-16,208.0,207.0,169.0,2334.0,168.0
2022-06-17,201.0,205.0,150.0,2327.0,157.0
2022-06-18,219.0,205.0,151.0,2279.0,199.0
2022-06-19,252.0,255.0,219.0,2286.0,213.0
2022-06-20,244.0,222.0,177.0,2248.0,215.0
2022-06-21,249.0,269.0,251.0,2324.0,174.0
2022-06-22,191.0,210.0,164.0,2304.0,184.0
2022-06-23,150.0,146.0,129.0,2267.0,166.0
2022-06-24,156.0,161.0,131.0,2251.0,148.0
2022-06-25,223.0,187.0,161.0,2232.0,180.0
2022-06-26,288.0,271.0,230.0,2263.0,200.0
2022-06-27,260.0,256.0,209.0,2264.0,209.0
2022-06-28,231.0,215.0,201.0,2272.0,193.0
2022-06-29,206.0,216.0,170.0,2268.0,175.0
2022-06-30,209.0,239.0,178.0,2271.0,174.0
2022-07-01,189.0,171.0,149.0,2244.0,176.0
2022-07-02,204.0,191.0,174.0,2268.0,151.0
2022-07-03,272.0,276.0,196.0,2268.0,196.0
2022-07-04,263.0,287.0,233.0,2299.0,202.0
2022-07-05,268.0,250.0,230.0,2353.0,176.0
2022-07-06,398.0,402.0,357.0,2531.0,179.0
2022-07-07,318.0,345.0,327.0,2667.0,190.0
2022-07-08,300.0,276.0,230.0,2715.0,182.0
2022-07-09,388.0,369.0,319.0,2814.0,221.0
2022-07-10,405.0,398.0,309.0,2885.0,238.0
2022-07-11,350.0,342.0,321.0,2953.0,252.0
2022-07-12,310.0,322.0,255.0,2944.0,264.0
2022-07-13,310.0,313.0,277.0,3004.0,217.0
2022-07-14,214.0,187.0,150.0,2938.0,216.0
2022-07-15,217.0,225.0,189.0,2934.0,193.0
2022-07-16,279.0,270.0,238.0,2918.0,253.0
2022-07-17,277.0,296.0,245.0,2901.0,262.0
2022-07-18,288.0,278.0,258.0,2900.0,259.0
2022-07-19,256.0,247.0,199.0,2849.0,250.0
2022-07-20,229.0,237.0,204.0,2851.0,201.0
2022-07-21,229.0,241.0,189.0,2829.0,212.0
2022-07-22,200.0,207.0,166.0,2793.0,201.0
2022-07-23,241.0,216.0,175.0,2747.0,221.0
2022-07-24,202.0,210.0,154.0,2664.0,236.0
2022-07-25,257.0,241.0,174.0,2605.0,233.0
2022-07-26,212.0,216.0,187.0,2566.0,227.0
2022-07-27,166.0,145.0,125.0,2494.0,197.0
2022-07-28,150.0,157.0,136.0,2448.0,182.0
2022-07-29,170.0,158.0,111.0,2383.0,177.0
2022-07-30,230.0,211.0,165.0,2352.0,196.0
2022-07-31,195.0,206.0,154.0,2304.0,202.0
2022-08-01,236.0,240.0,215.0,2290.0,229.0
2022-08-02,201.0,192.0,176.0,2288.0,177.0
2022-08-03,170.0,192.0,146.0,2248.0,186.0
2022-08-04,181.0,174.0,151.0,2228.0,172.0
2022-08-05,177.0,177.0,130.0,2205.0,152.0
2022-08-06,227.0,231.0,178.0,2185.0,199.0
2022-08-07,221.0,212.0,155.0,2138.0,202.0
2022-08-08,215.0,222.0,171.0,2108.0,202.0
2022-08-09,204.0,196.0,171.0,2100.0,178.0
2022-08-10,181.0,175.0,162.0,2105.0,157.0
2022-08-11,157.0,177.0,133.0,2093.0,146.0
2022-08-12,133.0,117.0,98.0,2036.0,155.0
2022-08-13,193.0,157.0,137.0,1996.0,177.0
2022-08-14,227.0,251.0,236.0,2055.0,177.0
2022-08-15,292.0,330.0,281.0,2161.0,175.0
2022-08-16,254.0,248.0,189.0,2159.0,190.0
2022-08-17,150.0,121.0,104.0,2090.0,173.0
2022-08-18,142.0,138.0,107.0,2044.0,153.0
2022-08-19,120.0,116.0,109.0,1999.0,155.0
2022-08-20,173.0,170.0,136.0,1978.0,157.0
2022-08-21,227.0,210.0,183.0,1996.0,164.0
2022-08-22,256.0,265.0,187.0,2013.0,170.0
2022-08-23,186.0,194.0,155.0,2014.0,153.0
2022-08-24,153.0,130.0,120.0,1979.0,155.0
2022-08-25,93.0,104.0,88.0,1929.0,138.0
2022-08-26,150.0,181.0,147.0,1941.0,135.0
2022-08-27,159.0,161.0,151.0,1966.0,126.0
2022-08-28,203.0,198.0,181.0,1987.0,160.0
2022-08-29,202.0,200.0,156.0,1953.0,190.0
2022-08-30,199.0,209.0,174.0,1969.0,158.0
2022-08-31,123.0,97.0,80.0,1896.0,153.0
2022-09-01,108.0,111.0,95.0,1872.0,119.0
2022-09-02,205.0,200.0,156.0,1879.0,149.0
2022-09-03,151.0,179.0,136.0,1866.0,149.0
2022-09-04,187.0,184.0,171.0,1870.0,167.0
2022-09-05,268.0,293.0,272.0,1952.0,191.0
2022-09-06,272.0,256.0,233.0,2005.0,180.0
2022-09-07,136.0,144.0,136.0,1993.0,149.0
2022-09-08,134.0,139.0,123.0,1982.0,134.0
2022-09-09,159.0,146.0,130.0,1972.0,140.0
2022-09-10,225.0,228.0,203.0,2012.0,163.0
2022-09-11,188.0,206.0,169.0,2005.0,176.0
2022-09-12,214.0,209.0,170.0,2000.0,176.0
2022-09-13,218.0,193.0,146.0,1963.0,183.0
2022-09-14,175.0,174.0,150.0,1966.0,147.0
2022-09-15,133.0,119.0,92.0,1897.0,161.0
2022-09-16,146.0,141.0,108.0,1867.0,138.0
2022-09-17,146.0,145.0,123.0,1822.0,167.0
2022-09-18,206.0,180.0,145.0,1803.0,164.0
2022-09-19,213.0,189.0,142.0,1774.0,171.0
2022-09-20,204.0,211.0,191.0,1823.0,142.0
2022-09-21,149.0,141.0,129.0,1823.0,129.0
2022-09-22,153.0,115.0,85.0,1775.0,133.0
2022-09-23,174.0,186.0,131.0,1768.0,138.0
2022-09-24,184.0,188.0,148.0,1774.0,142.0
2022-09-25,220.0,210.0,189.0,1819.0,143.0
2022-09-26,221.0,201.0,183.0,1852.0,150.0
2022-09-27,198.0,210.0,154.0,1865.0,142.0
2022-09-28,145.0,150.0,134.0,1876.0,123.0
2022-09-29,149.0,185.0,135.0,1878.0,133.0
2022-09-30,147.0,153.0,122.0,1853.0,147.0
2022-10-01,233.0,239.0,227.0,1931.0,148.0
2022-10-02,251.0,249.0,186.0,1970.0,147.0
2022-10-03,229.0,242.0,178.0,1974.0,175.0
2022-10-04,179.0,188.0,152.0,1961.0,165.0
2022-10-05,136.0,154.0,132.0,1923.0,169.0
2022-10-06,172.0,164.0,153.0,1956.0,121.0
2022-10-07,156.0,150.0,142.0,1960.0,137.0
2022-10-08,193.0,186.0,133.0,1920.0,174.0
2022-10-09,169.0,181.0,133.0,1880.0,173.0
2022-10-10,244.0,266.0,239.0,1944.0,174.0
2022-10-11,210.0,204.0,156.0,1935.0,165.0
2022-10-12,137.0,130.0,120.0,1906.0,150.0
2022-10-13,131.0,136.0,118.0,1882.0,142.0
2022-10-14,158.0,154.0,112.0,1866.0,128.0
2022-10-15,184.0,198.0,180.0,1888.0,158.0
2022-10-16,207.0,173.0,129.0,1865.0,152.0
2022-10-17,219.0,207.0,167.0,1861.0,171.0
2022-10-18,194.0,183.0,153.0,1855.0,159.0
2022-10-19,170.0,135.0,112.0,1833.0,134.0
2022-10-20,182.0,167.0,146.0,1850.0,129.0
2022-10-21,89.0,75.0,65.0,1787.0,127.0
2022-10-22,178.0,175.0,166.0,1821.0,132.0
2022-10-23,220.0,237.0,225.0,1890.0,156.0
2022-10-24,231.0,228.0,189.0,1920.0,159.0
2022-10-25,193.0,178.0,129.0,1884.0,165.0
2022-10-26,124.0,124.0,109.0,1862.0,131.0
2022-10-27,155.0,171.0,161.0,1885.0,138.0
2022-10-28,198.0,184.0,143.0,1904.0,124.0
2022-10-29,148.0,135.0,110.0,1868.0,147.0
2022-10-30,240.0,248.0,200.0,1910.0,158.0
2022-10-31,218.0,215.0,153.0,1879.0,185.0
2022-11-01,204.0,214.0,185.0,1902.0,162.0
2022-11-02,145.0,145.0,114.0,1875.0,142.0
2022-11-03,142.0,152.0,136.0,1874.0,137.0
2022-11-04,191.0,175.0,159.0,1919.0,114.0
2022-11-05,204.0,204.0,185.0,1951.0,153.0
2022-11-06,265.0,262.0,210.0,1970.0,191.0
2022-11-07,259.0,241.0,188.0,1980.0,178.0
2022-11-08,220.0,196.0,174.0,1986.0,168.0
2022-11-09,218.0,228.0,205.0,2036.0,156.0
2022-11-10,164.0,159.0,131.0,2015.0,152.0
2022-11-11,182.0,167.0,154.0,2043.0,125.0
2022-11-12,186.0,184.0,136.0,2032.0,147.0
2022-11-13,227.0,244.0,224.0,2076.0,181.0
2022-11-14,216.0,182.0,131.0,2028.0,179.0
2022-11-15,237.0,214.0,158.0,2002.0,184.0
2022-11-16,149.0,135.0,112.0,1966.0,148.0
2022-11-17,176.0,198.0,142.0,1990.0,119.0
2022-11-18,160.0,165.0,117.0,1976.0,131.0
2022-11-19,226.0,238.0,167.0,2012.0,131.0
2022-11-20,248.0,231.0,187.0,2024.0,174.0
2022-11-21,283.0,266.0,238.0,2082.0,180.0
2022-11-22,234.0,241.0,171.0,2082.0,171.0
2022-11-23,143.0,144.0,124.0,2037.0,168.0
2022-11-24,159.0,168.0,152.0,2034.0,155.0
2022-11-25,140.0,137.0,102.0,1991.0,145.0
2022-11-26,188.0,193.0,142.0,1995.0,138.0
2022-11-27,271.0,273.0,250.0,2064.0,181.0
2022-11-28,258.0,269.0,244.0,2117.0,191.0
2022-11-29,203.0,215.0,180.0,2115.0,182.0
2022-11-30,161.0,137.0,124.0,2069.0,170.0
2022-12-01,166.0,133.0,96.0,2031.0,134.0
2022-12-02,144.0,159.0,127.0,1991.0,167.0
2022-12-03,189.0,207.0,183.0,2024.0,150.0
2022-12-04,246.0,230.0,176.0,2015.0,185.0
2022-12-05,275.0,247.0,220.0,2071.0,164.0
2022-12-06,241.0,242.0,200.0,2105.0,165.0
2022-12-07,134.0,148.0,131.0,2062.0,174.0
2022-12-08,178.0,205.0,167.0,2087.0,142.0
2022-12-09,181.0,188.0,149.0,2077.0,159.0
2022-12-10,221.0,216.0,163.0,2071.0,169.0
2022-12-11,283.0,270.0,203.0,2094.0,181.0
2022-12-12,200.0,200.0,177.0,2069.0,202.0
2022-12-13,216.0,211.0,154.0,2051.0,172.0
2022-12-14,211.0,196.0,141.0,2055.0,137.0
2022-12-15,136.0,167.0,124.0,2043.0,136.0
2022-12-16,221.0,248.0,184.0,2074.0,153.0
2022-12-17,225.0,242.0,219.0,2123.0,170.0
2022-12-18,269.0,255.0,204.0,2157.0,171.0
2022-12-19,242.0,255.0,242.0,2212.0,186.0
2022-12-20,256.0,265.0,195.0,2226.0,181.0
2022-12-21,228.0,235.0,203.0,2264.0,165.0
2022-12-22,186.0,205.0,167.0,2285.0,145.0
2022-12-23,195.0,204.0,163.0,2290.0,159.0
2022-12-24,228.0,239.0,220.0,2334.0,176.0
2022-12-25,232.0,241.0,228.0,2349.0,213.0
2022-12-26,258.0,263.0,242.0,2371.0,219.0
2022-12-27,237.0,210.0,157.0,2330.0,199.0
2022-12-28,216.0,218.0,164.0,2322.0,172.0
2022-12-29,211.0,203.0,175.0,2332.0,165.0
2022-12-30,168.0,149.0,115.0,2287.0,160.0
2022-12-31,223.0,249.0,220.0,2335.0,171.0
2023-01-01,296.0,321.0,271.0,2410.0,196.0
2023-01-02,248.0,269.0,225.0,2425.0,210.0
2023-01-03,226.0,229.0,208.0,2440.0,193.0
2023-01-04,217.0,237.0,208.0,2463.0,186.0
2023-01-05,212.0,213.0,150.0,2432.0,180.0
2023-01-06,200.0,203.0,145.0,2417.0,160.0
2023-01-07,265.0,249.0,211.0,2435.0,194.0
2023-01-08,285.0,291.0,239.0,2463.0,212.0
2023-01-09,293.0,294.0,225.0,2463.0,224.0
2023-01-10,265.0,246.0,198.0,2453.0,208.0
2023-01-11,276.0,275.0,244.0,2527.0,171.0
2023-01-12,191.0,190.0,172.0,2534.0,165.0
2023-01-13,155.0,182.0,153.0,2504.0,183.0
2023-01-14,277.0,291.0,231.0,2525.0,211.0
2023-01-15,258.0,258.0,198.0,2523.0,200.0
2023-01-16,280.0,284.0,236.0,2529.0,230.0
2023-01-17,289.0,290.0,226.0,2530.0,225.0
2023-01-18,183.0,180.0,151.0,2491.0,190.0
2023-01-19,170.0,154.0,134.0,2444.0,180.0
2023-01-20,170.0,168.0,120.0,2395.0,169.0
2023-01-21,222.0,211.0,148.0,2353.0,190.0
2023-01-22,285.0,266.0,201.0,2363.0,190.0
2023-01-23,296.0,303.0,280.0,2455.0,189.0
2023-01-24,269.0,274.0,236.0,2475.0,216.0
2023-01-25,192.0,166.0,123.0,2420.0,177.0
2023-01-26,149.0,147.0,136.0,2391.0,165.0
2023-01-27,217.0,231.0,189.0,2421.0,159.0
2023-01-28,235.0,251.0,206.0,2447.0,180.0
2023-01-29,291.0,306.0,286.0,2520.0,213.0
2023-01-30,305.0,306.0,219.0,2520.0,219.0
2023-01-31,270.0,257.0,194.0,2497.0,216.0
2023-02-01,252.0,235.0,199.0,2503.0,193.0
2023-02-02,217.0,222.0,167.0,2491.0,179.0
2023-02-03,233.0,239.0,208.0,2516.0,182.0
2023-02-04,234.0,254.0,191.0,2490.0,217.0
